Tue May 24 14:59:19 2011

Number of Points = 8584
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.925397	2.130250	0.000000	0.002784	0.349679

1.051785	2.190682	0.005000	0.002761	0.350069
0.942143	2.210561	0.010000	0.002781	0.350067
0.822017	2.237312	0.015000	0.002804	0.350088
0.916763	2.219482	0.020000	0.002786	0.350086
0.910089	2.235884	0.025000	0.002788	0.350156
0.994927	2.230803	0.030000	0.002772	0.350205
1.098777	2.186269	0.035000	0.002752	0.350087
0.859441	2.230284	0.040000	0.002797	0.350086
0.978330	2.208103	0.045000	0.002775	0.350084
1.023176	2.165914	0.050000	0.002767	0.349926
0.997344	2.132246	0.055000	0.002772	0.349746
1.033129	2.107029	0.060000	0.002765	0.349659
1.100385	2.056560	0.065000	0.002752	0.349480
0.959732	2.016764	0.070000	0.002779	0.349173
1.057646	1.973962	0.075000	0.002761	0.349057
1.036409	1.912182	0.080000	0.002765	0.348749
1.044706	1.842289	0.085000	0.002763	0.348429
1.022907	1.805253	0.090000	0.002768	0.348236
1.127730	1.709404	0.095000	0.002748	0.347877
1.047705	1.656787	0.100000	0.002763	0.347560
0.971564	1.603614	0.105000	0.002778	0.347244
1.111966	1.509818	0.110000	0.002751	0.346924
1.042040	1.439735	0.115000	0.002765	0.346533
0.896407	1.369626	0.120000	0.002792	0.346075
0.911154	1.320798	0.125000	0.002790	0.345857
0.928140	1.241772	0.130000	0.002786	0.345499
0.836012	1.189495	0.135000	0.002804	0.345171
0.909970	1.109462	0.140000	0.002790	0.344856
0.809177	1.050274	0.145000	0.002809	0.344488
0.959581	0.930708	0.150000	0.002781	0.344052
0.835973	0.820215	0.155000	0.002805	0.343418
1.004788	0.709095	0.160000	0.002773	0.343038
0.704512	0.676764	0.165000	0.002830	0.342620
0.723731	0.606211	0.170000	0.002826	0.342300
0.677352	0.542971	0.175000	0.002835	0.341957
0.826913	0.435193	0.180000	0.002807	0.341574
0.705071	0.359787	0.185000	0.002830	0.341105
0.628089	0.312358	0.190000	0.002845	0.340810
0.554519	0.251492	0.195000	0.002859	0.340452
0.585914	0.160559	0.200000	0.002853	0.340044
0.570067	0.095342	0.205000	0.002856	0.339716
0.494995	0.034750	0.210000	0.002870	0.339358
0.495454	-0.060335	0.215000	0.002870	0.338900
0.499943	-0.127465	0.220000	0.002870	0.338580
0.364888	-0.182505	0.225000	0.002895	0.338194
0.294976	-0.222119	0.230000	0.002909	0.337940
0.288956	-0.284957	0.235000	0.002910	0.337631
0.076704	-0.286059	0.240000	0.002950	0.337435
-0.126788	-0.266337	0.245000	0.002989	0.337349
-0.280810	-0.237228	0.250000	0.003018	0.337352
-0.749842	-0.102968	0.255000	0.003107	0.337582
-1.005448	0.044331	0.260000	0.003155	0.338065
-1.156935	0.195320	0.265000	0.003184	0.338658
-1.263539	0.399996	0.270000	0.003204	0.339549
-0.898680	0.444531	0.275000	0.003135	0.340086
-0.661504	0.481913	0.280000	0.003090	0.340475
-0.423157	0.482477	0.285000	0.003045	0.340688
-0.344576	0.467129	0.290000	0.003030	0.340683
-0.280620	0.455497	0.295000	0.003018	0.340684
-0.280203	0.413751	0.300000	0.003018	0.340484
-0.168466	0.380063	0.305000	0.002997	0.340421
-0.234788	0.333122	0.310000	0.003010	0.340136
-0.483036	0.366051	0.315000	0.003057	0.340074
-0.461005	0.363214	0.320000	0.003053	0.340080
-0.543207	0.377758	0.325000	0.003068	0.340076
-0.500195	0.370171	0.330000	0.003060	0.340078
-0.364752	0.322813	0.335000	0.003035	0.339970
-0.546578	0.327938	0.340000	0.003069	0.339833
-0.476047	0.315812	0.345000	0.003056	0.339837
-0.359043	0.259858	0.350000	0.003034	0.339671
-0.538022	0.255871	0.355000	0.003068	0.339493
-0.660108	0.220354	0.360000	0.003091	0.339213
-0.824346	0.250317	0.365000	0.003122	0.339211
-0.635701	0.248301	0.370000	0.003087	0.339369
-0.711647	0.231649	0.375000	0.003101	0.339221
-0.770881	0.241270	0.380000	0.003112	0.339214
-0.862784	0.259532	0.385000	0.003130	0.339220
-0.824942	0.251544	0.390000	0.003123	0.339215
-0.937655	0.272208	0.395000	0.003144	0.339214
-0.950514	0.275439	0.400000	0.003147	0.339218
-0.911030	0.267914	0.405000	0.003139	0.339216
-1.053681	0.293484	0.410000	0.003166	0.339212
-0.848188	0.255882	0.415000	0.003128	0.339213
-1.020995	0.288302	0.420000	0.003160	0.339215
-0.997496	0.283550	0.425000	0.003156	0.339213
-1.020154	0.270074	0.430000	0.003160	0.339128
-1.074832	0.299369	0.435000	0.003171	0.339220
-1.094916	0.301484	0.440000	0.003175	0.339212
-1.099093	0.212243	0.445000	0.003176	0.338778
-1.261733	0.271414	0.450000	0.003206	0.338918
-1.321379	0.345499	0.455000	0.003218	0.339221
-1.158760	0.314627	0.460000	0.003187	0.339217
-1.158275	0.315342	0.465000	0.003187	0.339220
-1.305323	0.341816	0.470000	0.003215	0.339216
-1.290325	0.340773	0.475000	0.003212	0.339224
-1.227096	0.303172	0.480000	0.003200	0.339099
-1.288764	0.280579	0.485000	0.003212	0.338935
