Wed Jun 29 16:09:31 2011

Number of Points = 8602
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.387619	2.099664	0.000000	0.002667	0.355378

0.187672	2.148472	0.005000	0.002705	0.355434
0.351054	2.117918	0.010000	0.002674	0.355431
0.272511	2.132714	0.015000	0.002689	0.355433
0.252237	2.094167	0.020000	0.002693	0.355232
0.246627	2.081690	0.025000	0.002694	0.355168
0.275737	2.076396	0.030000	0.002688	0.355168
0.255760	2.009166	0.035000	0.002692	0.354832
0.250187	2.007647	0.040000	0.002693	0.354819
0.267381	1.960927	0.045000	0.002690	0.354612
0.244252	1.947332	0.050000	0.002695	0.354527
0.220678	1.893556	0.055000	0.002699	0.354251
0.362886	1.822471	0.060000	0.002672	0.354038
0.202315	1.733381	0.065000	0.002703	0.353473
0.130428	1.711737	0.070000	0.002717	0.353307
0.083823	1.675916	0.075000	0.002726	0.353095
0.113957	1.658582	0.080000	0.002720	0.353039
0.009210	1.626143	0.085000	0.002740	0.352792
-0.055368	1.621642	0.090000	0.002752	0.352713
-0.000459	1.574472	0.095000	0.002742	0.352536
-0.152181	1.602793	0.100000	0.002771	0.352537
0.062171	1.501851	0.105000	0.002730	0.352244
0.008953	1.467896	0.110000	0.002740	0.352035
-0.055909	1.452038	0.115000	0.002753	0.351901
0.018371	1.375078	0.120000	0.002739	0.351599
-0.157178	1.356310	0.125000	0.002772	0.351353
0.007248	1.291274	0.130000	0.002741	0.351187
-0.106334	1.239960	0.135000	0.002763	0.350840
-0.260361	1.252299	0.140000	0.002792	0.350763
-0.300008	1.213828	0.145000	0.002800	0.350543
-0.281675	1.192346	0.150000	0.002796	0.350456
-0.291216	1.148137	0.155000	0.002798	0.350235
-0.275511	1.125514	0.160000	0.002795	0.350140
-0.278948	1.064611	0.165000	0.002796	0.349844
-0.393119	1.040497	0.170000	0.002818	0.349626
-0.302469	0.993060	0.175000	0.002801	0.349478
-0.430403	0.973418	0.180000	0.002825	0.349270
-0.426385	0.930505	0.185000	0.002824	0.349066
-0.372424	0.883452	0.190000	0.002814	0.348887
-0.449172	0.832841	0.195000	0.002829	0.348575
-0.421351	0.786959	0.200000	0.002824	0.348378
-0.474591	0.744545	0.205000	0.002834	0.348125
-0.496112	0.708329	0.210000	0.002838	0.347930
-0.560828	0.691765	0.215000	0.002850	0.347792
-0.586250	0.635014	0.220000	0.002855	0.347495
-0.592265	0.609224	0.225000	0.002856	0.347364
-0.585570	0.563582	0.230000	0.002855	0.347149
-0.667072	0.525111	0.235000	0.002871	0.346889
-0.566098	0.463067	0.240000	0.002852	0.346678
-0.678137	0.418042	0.245000	0.002873	0.346359
-0.607467	0.367445	0.250000	0.002860	0.346176
-0.745901	0.352582	0.255000	0.002886	0.345980
-0.885274	0.323049	0.260000	0.002913	0.345711
-0.879990	0.304482	0.265000	0.002912	0.345625
-0.977602	0.287039	0.270000	0.002930	0.345452
-0.908690	0.269079	0.275000	0.002917	0.345426
-0.879926	0.205420	0.280000	0.002912	0.345142
-0.840871	0.169614	0.285000	0.002905	0.345002
-0.830030	0.114479	0.290000	0.002903	0.344742
-0.999950	0.102256	0.295000	0.002935	0.344529
-0.938865	0.039313	0.300000	0.002924	0.344277
-1.080508	-0.018675	0.305000	0.002950	0.343865
-1.076449	-0.063988	0.310000	0.002950	0.343647
-1.129275	-0.083567	0.315000	0.002960	0.343503
-1.289032	-0.068751	0.320000	0.002990	0.343431
-1.051792	-0.124152	0.325000	0.002945	0.343374
-1.216585	-0.144820	0.330000	0.002977	0.343123
-1.226800	-0.168380	0.335000	0.002979	0.342998
-1.293210	-0.182850	0.340000	0.002991	0.342866
-1.315362	-0.212645	0.345000	0.002996	0.342700
-1.489549	-0.215937	0.350000	0.003029	0.342526
-1.370847	-0.238652	0.355000	0.003006	0.342521
-1.425017	-0.228627	0.360000	0.003017	0.342521
-1.572266	-0.201826	0.365000	0.003045	0.342519
-1.472804	-0.259024	0.370000	0.003026	0.342328
-1.355044	-0.289252	0.375000	0.003004	0.342286
-1.431388	-0.321884	0.380000	0.003018	0.342056
-1.520085	-0.323996	0.385000	0.003035	0.341964
-1.645323	-0.326270	0.390000	0.003059	0.341839
-1.573815	-0.371114	0.395000	0.003045	0.341683
-1.702199	-0.347317	0.400000	0.003070	0.341683
-1.714920	-0.344992	0.405000	0.003072	0.341683
-1.632531	-0.365700	0.410000	0.003057	0.341655
-1.520118	-0.455182	0.415000	0.003036	0.341316
-1.732837	-0.455146	0.420000	0.003076	0.341123
-1.709661	-0.464240	0.425000	0.003072	0.341099
-1.753700	-0.473389	0.430000	0.003080	0.341013
-1.997355	-0.474494	0.435000	0.003126	0.340785
-1.934715	-0.434127	0.440000	0.003114	0.341041
-1.893114	-0.490482	0.445000	0.003107	0.340801
-2.100177	-0.456503	0.450000	0.003146	0.340779
-1.884300	-0.495353	0.455000	0.003105	0.340784
-2.051196	-0.463570	0.460000	0.003137	0.340788
-2.058858	-0.462839	0.465000	0.003138	0.340785
-2.002526	-0.472499	0.470000	0.003128	0.340788
-1.998664	-0.488867	0.475000	0.003127	0.340710
-2.173175	-0.494988	0.480000	0.003160	0.340521
-2.141582	-0.501608	0.485000	0.003154	0.340516
-2.274106	-0.475173	0.490000	0.003180	0.340526
-2.206207	-0.487217	0.495000	0.003167	0.340528
-2.148200	-0.498537	0.500000	0.003156	0.340524
-2.152072	-0.498572	0.505000	0.003157	0.340520
-2.149888	-0.503772	0.510000	0.003156	0.340496
-2.262367	-0.547252	0.515000	0.003178	0.340178
-2.486687	-0.484455	0.520000	0.003220	0.340284
-2.382718	-0.506070	0.525000	0.003201	0.340271
-2.346397	-0.503815	0.530000	0.003194	0.340315
-2.438058	-0.514503	0.535000	0.003211	0.340178
-2.556663	-0.491136	0.540000	0.003234	0.340185
-2.433987	-0.447633	0.545000	0.003211	0.340512
-2.542391	-0.495611	0.550000	0.003231	0.340175
-2.388873	-0.488986	0.555000	0.003202	0.340348
-2.458196	-0.512043	0.560000	0.003216	0.340170
-2.556079	-0.492643	0.565000	0.003234	0.340176
-2.427464	-0.531173	0.570000	0.003210	0.340103
-2.607201	-0.532912	0.575000	0.003244	0.339930
-2.773947	-0.501726	0.580000	0.003276	0.339931
-2.757122	-0.456818	0.585000	0.003272	0.340168
-2.625804	-0.479575	0.590000	0.003248	0.340175
-2.679047	-0.513973	0.595000	0.003258	0.339956
-2.760000	-0.486181	0.600000	0.003273	0.340019
-2.815851	-0.494069	0.605000	0.003284	0.339929
-2.783186	-0.474962	0.610000	0.003278	0.340053
-2.704317	-0.514094	0.615000	0.003263	0.339931
-2.710030	-0.513855	0.620000	0.003264	0.339927
-2.831182	-0.490350	0.625000	0.003287	0.339932
-2.855882	-0.546320	0.630000	0.003292	0.339632
-3.176700	-0.444272	0.635000	0.003353	0.339844
-2.707364	-0.529015	0.640000	0.003264	0.339852
-2.963365	-0.534279	0.645000	0.003312	0.339592
-3.177273	-0.478108	0.650000	0.003353	0.339674
-3.011227	-0.457319	0.655000	0.003322	0.339928
-2.909892	-0.532682	0.660000	0.003303	0.339648
-3.217249	-0.452968	0.665000	0.003361	0.339761
-2.939809	-0.530745	0.670000	0.003308	0.339629
-3.171245	-0.494073	0.675000	0.003352	0.339599
-3.341483	-0.446815	0.680000	0.003385	0.339677
-3.092836	-0.454419	0.685000	0.003338	0.339866
-3.156759	-0.497187	0.690000	0.003350	0.339596
-3.234221	-0.482622	0.695000	0.003365	0.339596
-3.266854	-0.476570	0.700000	0.003371	0.339596
-3.240412	-0.481173	0.705000	0.003366	0.339597
-3.199460	-0.489092	0.710000	0.003358	0.339595
-3.232389	-0.482134	0.715000	0.003364	0.339599
-3.255774	-0.524130	0.720000	0.003369	0.339369
-3.527986	-0.448237	0.725000	0.003421	0.339496
-3.461767	-0.476109	0.730000	0.003408	0.339418
-3.365061	-0.458506	0.735000	0.003390	0.339593
-3.433396	-0.494765	0.740000	0.003403	0.339351
-3.449841	-0.452105	0.745000	0.003406	0.339547
-3.516011	-0.486886	0.750000	0.003419	0.339313
-3.558700	-0.434660	0.755000	0.003427	0.339533
-3.442432	-0.498813	0.760000	0.003405	0.339321
-3.552323	-0.479818	0.765000	0.003426	0.339314
-3.493979	-0.490545	0.770000	0.003415	0.339314
-3.479931	-0.538548	0.775000	0.003412	0.339088
-4.030558	-0.429080	0.780000	0.003516	0.339127
-3.359672	-0.535537	0.785000	0.003390	0.339212
-3.974409	-0.450758	0.790000	0.003506	0.339070
-3.386688	-0.542790	0.795000	0.003395	0.339151
-4.142816	-0.411229	0.800000	0.003538	0.339111
-3.519477	-0.534620	0.805000	0.003420	0.339069
-3.909544	-0.424464	0.810000	0.003494	0.339258
-3.825073	-0.509449	0.815000	0.003478	0.338914
-3.647953	-0.477074	0.820000	0.003445	0.339236
-4.054342	-0.489233	0.825000	0.003522	0.338803
-3.627203	-0.522446	0.830000	0.003441	0.339029
-4.250039	-0.451032	0.835000	0.003559	0.338813
-3.783646	-0.490265	0.840000	0.003471	0.339045
-4.120401	-0.476000	0.845000	0.003535	0.338807
-3.822826	-0.531564	0.850000	0.003478	0.338803
-3.980156	-0.501247	0.855000	0.003508	0.338809
-4.110838	-0.477894	0.860000	0.003533	0.338805
-3.955629	-0.505896	0.865000	0.003504	0.338808
-4.003456	-0.512845	0.870000	0.003513	0.338729
-4.385494	-0.447044	0.875000	0.003585	0.338705
-4.013165	-0.505444	0.880000	0.003515	0.338756
-4.219553	-0.461340	0.885000	0.003554	0.338785
-4.134218	-0.511308	0.890000	0.003538	0.338615
-4.345160	-0.443529	0.895000	0.003578	0.338758
-4.161147	-0.502578	0.900000	0.003543	0.338633
-4.321932	-0.481625	0.905000	0.003574	0.338589
-4.390291	-0.439389	0.910000	0.003587	0.338736
-4.168868	-0.495882	0.915000	0.003545	0.338658
-4.426608	-0.462423	0.920000	0.003594	0.338588
-4.392140	-0.468810	0.925000	0.003587	0.338587
-4.183909	-0.505790	0.930000	0.003548	0.338594
-4.493569	-0.449698	0.935000	0.003607	0.338588
-4.390944	-0.468841	0.940000	0.003587	0.338587
-4.392898	-0.479315	0.945000	0.003588	0.338533
-4.550728	-0.466215	0.950000	0.003618	0.338453
-4.350205	-0.516021	0.955000	0.003580	0.338389
-4.794907	-0.427795	0.960000	0.003664	0.338419
-4.538818	-0.483018	0.965000	0.003616	0.338379
-4.589816	-0.437152	0.970000	0.003625	0.338559
-4.440024	-0.518999	0.975000	0.003597	0.338290
-4.652360	-0.481837	0.980000	0.003637	0.338279
-4.770024	-0.459479	0.985000	0.003660	0.338282
-4.656842	-0.480539	0.990000	0.003638	0.338281
-4.618501	-0.487422	0.995000	0.003631	0.338281
