Fri May 20 14:51:51 2011

Number of Points = 8595
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.633237	2.246370	0.000000	0.004034	0.344677

0.607949	2.278804	0.005000	0.004039	0.344808
0.507123	2.323998	0.010000	0.004059	0.344933
0.671469	2.280819	0.015000	0.004028	0.344871
0.743145	2.242417	0.020000	0.004015	0.344750
0.519448	2.283382	0.025000	0.004057	0.344748
0.649977	2.244609	0.030000	0.004033	0.344677
0.818764	2.159554	0.035000	0.004001	0.344420
0.705950	2.121173	0.040000	0.004023	0.344138
0.468027	2.164978	0.045000	0.004068	0.344137
0.606828	2.052900	0.050000	0.004042	0.343725
0.594865	2.016113	0.055000	0.004044	0.343538
0.702987	1.953208	0.060000	0.004024	0.343332
0.577885	1.924374	0.065000	0.004048	0.343084
0.480759	1.915589	0.070000	0.004067	0.342956
0.546532	1.862250	0.075000	0.004054	0.342758
0.647211	1.801535	0.080000	0.004036	0.342556
0.481647	1.773445	0.085000	0.004067	0.342275
0.498360	1.720824	0.090000	0.004064	0.342037
0.481229	1.685307	0.095000	0.004068	0.341851
0.527299	1.619620	0.100000	0.004059	0.341577
0.549697	1.536484	0.105000	0.004055	0.341197
0.639979	1.460922	0.110000	0.004038	0.340914
0.355882	1.458134	0.115000	0.004092	0.340648
0.477659	1.368454	0.120000	0.004070	0.340324
0.354315	1.330246	0.125000	0.004093	0.340030
0.403126	1.262264	0.130000	0.004084	0.339745
0.365613	1.206148	0.135000	0.004092	0.339441
0.361160	1.134221	0.140000	0.004093	0.339089
0.291081	1.060199	0.145000	0.004106	0.338669
0.344019	0.989705	0.150000	0.004096	0.338374
0.235346	0.950582	0.155000	0.004117	0.338087
0.092219	0.941439	0.160000	0.004145	0.337914
0.206625	0.855368	0.165000	0.004123	0.337599
0.087674	0.827864	0.170000	0.004146	0.337358
0.174203	0.757910	0.175000	0.004130	0.337095
0.069171	0.724072	0.180000	0.004150	0.336836
0.123796	0.650902	0.185000	0.004140	0.336529
0.022427	0.616852	0.190000	0.004159	0.336271
0.115108	0.544710	0.195000	0.004142	0.336002
0.078506	0.485518	0.200000	0.004149	0.335680
0.021893	0.444810	0.205000	0.004160	0.335430
0.044692	0.361327	0.210000	0.004156	0.335042
-0.027266	0.304538	0.215000	0.004170	0.334699
-0.164933	0.279572	0.220000	0.004196	0.334452
-0.170898	0.200897	0.225000	0.004198	0.334060
-0.243752	0.121023	0.230000	0.004212	0.333602
-0.238330	0.090548	0.235000	0.004211	0.333457
-0.202668	0.032121	0.240000	0.004204	0.333201
-0.353105	0.014394	0.245000	0.004233	0.332977
-0.223148	-0.039972	0.250000	0.004209	0.332827
-0.290160	-0.090062	0.255000	0.004222	0.332519
-0.425176	-0.105073	0.260000	0.004247	0.332321
-0.362445	-0.171621	0.265000	0.004236	0.332050
-0.528337	-0.176860	0.270000	0.004267	0.331872
-0.637309	-0.188608	0.275000	0.004288	0.331714
-0.658392	-0.184292	0.280000	0.004292	0.331715
-0.505739	-0.247737	0.285000	0.004264	0.331540
-0.510329	-0.294820	0.290000	0.004265	0.331302
-0.484776	-0.341898	0.295000	0.004260	0.331092
-0.657629	-0.366607	0.300000	0.004293	0.330811
-0.762257	-0.346497	0.305000	0.004313	0.330814
-0.613747	-0.422633	0.310000	0.004285	0.330572
-0.631140	-0.462742	0.315000	0.004289	0.330357
-0.823144	-0.458144	0.320000	0.004325	0.330203
-0.760739	-0.507481	0.325000	0.004314	0.330015
-0.984985	-0.476228	0.330000	0.004356	0.329963
-0.729918	-0.544973	0.335000	0.004308	0.329855
-0.826599	-0.572001	0.340000	0.004327	0.329631
-0.833943	-0.619029	0.345000	0.004329	0.329390
-0.894068	-0.633814	0.350000	0.004340	0.329261
-0.972014	-0.680893	0.355000	0.004355	0.328954
-1.086039	-0.659168	0.360000	0.004377	0.328957
-1.122129	-0.658061	0.365000	0.004384	0.328928
-1.113393	-0.697881	0.370000	0.004383	0.328737
-1.191937	-0.683374	0.375000	0.004398	0.328736
-1.152298	-0.690222	0.380000	0.004390	0.328737
-1.112523	-0.717030	0.385000	0.004383	0.328639
-1.309316	-0.721238	0.390000	0.004421	0.328436
-1.374750	-0.709993	0.395000	0.004433	0.328431
-1.290492	-0.726267	0.400000	0.004417	0.328426
-1.473669	-0.690620	0.405000	0.004452	0.328434
-1.468290	-0.691889	0.410000	0.004452	0.328432
-1.378057	-0.708505	0.415000	0.004435	0.328431
-1.359965	-0.711647	0.420000	0.004431	0.328431
-1.373194	-0.709652	0.425000	0.004434	0.328428
-1.428321	-0.720037	0.430000	0.004445	0.328324
-1.434057	-0.749493	0.435000	0.004446	0.328171
-1.508532	-0.735380	0.440000	0.004460	0.328172
-1.696917	-0.700131	0.445000	0.004496	0.328173
-1.680274	-0.703655	0.450000	0.004493	0.328170
-1.582338	-0.720989	0.455000	0.004475	0.328173
-1.651912	-0.708098	0.460000	0.004488	0.328172
-1.512696	-0.733954	0.465000	0.004462	0.328170
-1.527802	-0.784361	0.470000	0.004465	0.327904
-1.650924	-0.775638	0.475000	0.004489	0.327833
-1.860907	-0.736746	0.480000	0.004529	0.327832
-1.908397	-0.727525	0.485000	0.004538	0.327834
-1.762073	-0.755162	0.490000	0.004511	0.327829
-1.848546	-0.738083	0.495000	0.004527	0.327834
-1.810901	-0.744381	0.500000	0.004520	0.327836
-1.892857	-0.729704	0.505000	0.004536	0.327833
-1.815437	-0.743693	0.510000	0.004522	0.327833
-1.878484	-0.740922	0.515000	0.004534	0.327788
-1.973851	-0.760622	0.520000	0.004552	0.327601
-1.985778	-0.758741	0.525000	0.004554	0.327598
-2.023580	-0.730954	0.530000	0.004562	0.327701
-1.920925	-0.770876	0.535000	0.004543	0.327595
-1.966586	-0.762129	0.540000	0.004552	0.327596
-1.935378	-0.778024	0.545000	0.004546	0.327544
-2.231721	-0.732774	0.550000	0.004602	0.327496
-2.177203	-0.721624	0.555000	0.004592	0.327600
-2.237657	-0.711124	0.560000	0.004604	0.327596
-2.116722	-0.732905	0.565000	0.004581	0.327598
-2.208354	-0.715538	0.570000	0.004599	0.327599
-2.164891	-0.773235	0.575000	0.004591	0.327350
-2.286304	-0.765591	0.580000	0.004614	0.327275
-2.371862	-0.751526	0.585000	0.004630	0.327265
-2.359083	-0.690198	0.590000	0.004628	0.327582
-2.208124	-0.760180	0.595000	0.004600	0.327371
-2.273363	-0.767697	0.600000	0.004612	0.327272
-2.252820	-0.770717	0.605000	0.004609	0.327275
-2.459199	-0.733036	0.610000	0.004648	0.327272
-2.464136	-0.732269	0.615000	0.004649	0.327270
-2.511593	-0.723406	0.620000	0.004658	0.327269
-2.397491	-0.743379	0.625000	0.004637	0.327274
-2.523269	-0.719568	0.630000	0.004661	0.327276
-2.424089	-0.783514	0.635000	0.004642	0.327046
-2.603119	-0.761164	0.640000	0.004676	0.326992
-2.757349	-0.696485	0.645000	0.004706	0.327172
-2.543798	-0.718103	0.650000	0.004665	0.327260
-2.565648	-0.767997	0.655000	0.004670	0.326989
-2.613250	-0.759033	0.660000	0.004679	0.326989
-2.730346	-0.737461	0.665000	0.004701	0.326987
-2.791817	-0.726202	0.670000	0.004713	0.326986
-2.618491	-0.756977	0.675000	0.004681	0.326991
-2.821484	-0.718430	0.680000	0.004719	0.326995
-2.729652	-0.735159	0.685000	0.004702	0.326995
-2.675257	-0.762887	0.690000	0.004692	0.326906
-2.818957	-0.790998	0.695000	0.004720	0.326631
-2.936496	-0.728627	0.700000	0.004742	0.326834
-2.808232	-0.773591	0.705000	0.004718	0.326726
-3.036419	-0.720365	0.710000	0.004761	0.326781
-2.896635	-0.718442	0.715000	0.004735	0.326918
-3.031949	-0.736443	0.720000	0.004761	0.326702
-2.981313	-0.753826	0.725000	0.004752	0.326661
-3.022964	-0.740297	0.730000	0.004760	0.326689
-2.975164	-0.760208	0.735000	0.004751	0.326632
-3.071711	-0.743290	0.740000	0.004769	0.326627
-3.257543	-0.685060	0.745000	0.004805	0.326746
-2.918211	-0.739690	0.750000	0.004741	0.326785
-2.979034	-0.759641	0.755000	0.004752	0.326627
-2.999981	-0.785053	0.760000	0.004757	0.326480
