Mon Jan 13 17:00:52 2014

Number of Points = 6790
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.006618	2.070837	0.000000	0.001719	0.355251

0.953903	2.088581	0.005005	0.001729	0.355289
0.810189	2.113686	0.010010	0.001756	0.355283
0.966255	2.082001	0.015014	0.001727	0.355269
0.919280	2.026775	0.020019	0.001736	0.354970
1.014400	2.009516	0.025024	0.001718	0.354972
0.808351	1.985706	0.030029	0.001757	0.354683
0.934973	1.958639	0.035034	0.001733	0.354665
0.912928	1.941571	0.040038	0.001737	0.354567
0.844152	1.905931	0.045043	0.001750	0.354340
0.953231	1.862436	0.050048	0.001729	0.354231
0.803561	1.846641	0.055053	0.001757	0.354027
0.754694	1.818685	0.060058	0.001767	0.353854
0.637019	1.811825	0.065062	0.001789	0.353720
0.828799	1.776644	0.070067	0.001753	0.353721
0.775050	1.722797	0.075072	0.001763	0.353421
0.772266	1.691181	0.080077	0.001763	0.353270
0.835818	1.623069	0.085082	0.001751	0.353005
0.729240	1.591658	0.090086	0.001771	0.352765
0.779904	1.532678	0.095091	0.001762	0.352531
0.908263	1.441788	0.100096	0.001737	0.352214
0.762987	1.392616	0.105101	0.001765	0.351856
0.959760	1.278498	0.110106	0.001728	0.351488
0.732571	1.238805	0.115110	0.001771	0.351102
0.532853	1.228780	0.120115	0.001808	0.350881
0.780487	1.120245	0.125120	0.001762	0.350583
0.747664	1.041026	0.130125	0.001768	0.350179
0.811392	0.947014	0.135130	0.001756	0.349788
0.607113	0.899788	0.140134	0.001794	0.349385
0.663414	0.824186	0.145139	0.001784	0.349074
0.601905	0.758624	0.150144	0.001795	0.348708
0.612989	0.681347	0.155149	0.001793	0.348350
0.706965	0.567319	0.160154	0.001775	0.347888
0.530679	0.525843	0.165158	0.001809	0.347535
0.712635	0.403984	0.170163	0.001774	0.347112
0.491756	0.353286	0.175168	0.001816	0.346674
0.490988	0.278878	0.180173	0.001816	0.346317
0.448331	0.219561	0.185178	0.001824	0.345995
0.279295	0.169136	0.190182	0.001856	0.345603
0.387202	0.095238	0.195187	0.001836	0.345343
0.362502	0.026767	0.200192	0.001841	0.344992
0.392831	-0.044321	0.205197	0.001835	0.344676
0.206898	-0.092129	0.210202	0.001870	0.344280
-0.033267	-0.106871	0.215206	0.001915	0.343995
-0.125749	-0.094848	0.220211	0.001933	0.343971
-0.438974	-0.036612	0.225216	0.001992	0.343973
-0.544947	0.030164	0.230221	0.002012	0.344202
-0.517036	0.045572	0.235226	0.002007	0.344301
-0.303339	0.069213	0.240230	0.001966	0.344606
-0.422552	0.090729	0.245235	0.001989	0.344604
-0.285939	0.065201	0.250240	0.001963	0.344602
-0.160285	0.006499	0.255245	0.001939	0.344431
-0.302207	0.000772	0.260250	0.001966	0.344277
-0.299800	-0.016430	0.265254	0.001965	0.344197
-0.475406	0.032155	0.270259	0.001998	0.344275
-0.261866	-0.061961	0.275264	0.001958	0.344011
-0.643624	0.000653	0.280269	0.002030	0.343973
-0.608739	-0.006244	0.285274	0.002023	0.343971
-0.649337	0.056714	0.290278	0.002031	0.344239
-0.532089	0.043468	0.295283	0.002009	0.344280
-0.538353	0.002036	0.300288	0.002010	0.344075
-0.612670	-0.005027	0.305293	0.002024	0.343975
-0.685001	0.008729	0.310298	0.002038	0.343977
-0.704187	0.012151	0.315302	0.002041	0.343976
-0.617427	-0.003532	0.320307	0.002025	0.343978
-0.655977	0.002752	0.325312	0.002032	0.343974
-0.697758	0.010621	0.330317	0.002040	0.343975
-0.691848	0.010080	0.335322	0.002039	0.343978
-0.835245	0.036107	0.340326	0.002066	0.343976
-0.743226	0.019865	0.345331	0.002048	0.343980
-0.919820	-0.010413	0.350336	0.002082	0.343676
-0.897381	0.048091	0.355341	0.002077	0.343980
